"升级所需物品
 [物品ID，数量]"
upgradeNeedItem
JSONArray
CS
[[2020,80],[1002,33000]]
[[2020,80],[1002,34000]]
[[2020,80],[1002,23000]]
[[2020,80],[1002,36000]]
[[2020,80],[1002,37000]]
[[2020,80],[1002,38000]]
[[2020,80],[1002,39000]]
[[2020,80],[1002,40000]]
[[2020,100],[1002,41000]]
[[2020,100],[1002,42000]]
[[2020,100],[1002,43000]]
[[2020,100],[1002,44000]]
[[2020,100],[1002,45000]]
[[2020,100],[1002,46000]]
[[2020,100],[1002,47000]]
[[2020,100],[1002,48000]]
[[2020,100],[1002,49000]]
[]
[[2023,40],[1002,1000]]
[[2023,40],[1002,2000]]
[[2023,40],[1002,3000]]
[[2023,40],[1002,4000]]
[[2023,40],[1002,5000]]
[[2023,40],[1002,6000]]
[[2023,40],[1002,7000]]
[[2023,40],[1002,8000]]
[[2023,40],[1002,9000]]
[[2023,40],[1002,10000]]
[[2023,50],[1002,11000]]
[[2023,50],[1002,12000]]
[[2023,50],[1002,13000]]
[[2023,50],[1002,14000]]
[[2023,50],[1002,15000]]
[[2023,50],[1002,16000]]
[[2023,50],[1002,17000]]
[[2023,50],[1002,18000]]
[[2023,50],[1002,19000]]
[[2023,50],[1002,20000]]
[[2023,60],[1002,21000]]
[[2023,60],[1002,22000]]
[[2023,60],[1002,23000]]
[[2023,60],[1002,24000]]
[[2023,60],[1002,25000]]
[[2023,60],[1002,26000]]
[[2023,60],[1002,27000]]
[[2023,60],[1002,28000]]
[[2023,60],[1002,29000]]
[[2023,60],[1002,30000]]
[[2023,80],[1002,31000]]
[[2023,80],[1002,32000]]
[[2023,80],[1002,33000]]
[[2023,80],[1002,34000]]
[[2023,80],[1002,23000]]
[[2023,80],[1002,36000]]
[[2023,80],[1002,37000]]
[[2023,80],[1002,38000]]
[[2023,80],[1002,39000]]
[[2023,80],[1002,40000]]
[[2023,100],[1002,41000]]
[[2023,100],[1002,42000]]
[[2023,100],[1002,43000]]
[[2023,100],[1002,44000]]
[[2023,100],[1002,45000]]
[[2023,100],[1002,46000]]
[[2023,100],[1002,47000]]
[[2023,100],[1002,48000]]
[[2023,100],[1002,49000]]
[]
